Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,product_name,average_rating,total_no_of_reviews,brand,model,in_stock,condition,ships_from,sold_by,prime_eligible,drive_type,form_factor,interface,read_speed_mbps,write_speed_mbps,estimated_delivery_date,warranty_months
$0.005,$4.997,$600,12 TB x10,,Tape,LTO-8,New,https://www.amazon.com/dp/B0GSGZYLF4?tag=synack-20&linkCode=osi&th=1&psc=1,Fuji LTO 8 ultrium Tape Data Cartridge 10 Pack,4.5,50,Fujifilm,LTO 8,True,new,third-party,Malelo and Company,True,Portable HDD,8mm,USB 3.0,360,360,05/13,120
$0.005,$5.211,$63,12 TB,,Tape,LTO-8,New,https://www.amazon.com/dp/B07CJTXT5M?tag=synack-20&linkCode=osi&th=1&psc=1,"MR-L8MQN-01- Quantum LTO Ultrium 8, 12TB/ 30TB, Part",4.5,8,Quantum,MR-L8MQN-01,limited,new,IT Electronix,IT Electronix,False,Portable HDD,"3.5""",USB 3.0,360,360,05/01,12
$0.005,$5.222,$94,18 TB,,Tape,LTO-9,New,https://www.amazon.com/dp/B09GBGDMJN?tag=synack-20&linkCode=osi&th=1&psc=1,HPE LTO-9 Ultrium 45TB RW Data Cartridge,4.5,0,HP,Q2079A,True,new,third-party,ABCX DIRECT,False,Portable HDD,"3.5""",USB 3.0,3600,3600,05/04,360
$0.005,$5.250,$945,18 TB x10,,Tape,LTO-9,New,https://www.amazon.com/dp/B0FC8N83YW?tag=synack-20&linkCode=osi&th=1&psc=1,10-Pack Quantum LTO 9 MR-L9MQN-01 Ultrium Data Cartridge,4.5,42,Quantum,MR-L9MQN-01,True,new,third-party,Malelo and Company,True,Portable HDD,"3.5""",USB 3.0,400,400,05/04,120
$0.005,$5.275,"$1,899",18 TB x20,2 years,Tape,LTO-9,New,https://www.amazon.com/dp/B0CYQHSDQN?tag=synack-20&linkCode=osi&th=1&psc=1,Quantum LTO 9 Data Cartridge 20 Pack,4.5,12,Quantum,LTO 9,True,new,Amazon,Malelo and Company,True,Portable HDD,"3.5""",USB 3.0,360,360,05/07,24
$0.005,$5.438,$98,18 TB,,Tape,LTO-9,New,https://www.amazon.com/dp/B09HTLMPH9?tag=synack-20&linkCode=osi&th=1&psc=1,"Quantum Ultrium LTO 9 Data Cartridge 18TB Native / 45TB 2.5:1 Compression, Black (MR-L9MQN-01)",4.3,4,Quantum,MR-L9MQN-01,True,new,Amazon,Malelo and Company,True,Tape Cartridge,3480 tape cartridge,LTO-9,525,525,05/01,0
$0.006,$5.555,$100,18 TB,,Tape,LTO-9,New,https://www.amazon.com/dp/B0C6BQ1CPP?tag=synack-20&linkCode=osi&th=1&psc=1,Fujifilm Data Cartridge LTO 9 Tape Media Cartridge,4.5,42,Fujifilm,LTO FB UL-9 18.0T,True,new,Amazon,Malelo and Company,True,Portable HDD,Cartridge,LTO,400,400,05/01,120
$0.006,$5.555,"$1,000",18 TB x10,2 years,Tape,LTO-9,New,https://www.amazon.com/dp/B0G87CLXK8?tag=synack-20&linkCode=osi&th=1&psc=1,Fuji Lto 9 - 10 Pack,4.5,0,Malelo and Company,LTO Ultrium 9,True,new,Amazon,Malelo and Company,False,Portable HDD,4 mm tape,USB 3.0,400,400,05/07,24
$0.006,$5.583,"$1,340",12 TB x20,,Tape,LTO-8,New,https://www.amazon.com/dp/B07C7CKR23?tag=synack-20&linkCode=osi&th=1&psc=1,HP Lto-8 Ultrium 30 Tb Rw 20 Data,2.3,3,HP,Q2078AN,True,new,Amazon,Malelo and Company,True,Portable HDD,"3.5""",USB 3.0,525,525,04/30,12
$0.006,$5.625,"$1,350",12 TB x20,,Tape,LTO-8,New,https://www.amazon.com/dp/B07LH97JZ1?tag=synack-20&linkCode=osi&th=1&psc=1,Hewlett-Packard HPE LTO Ultrium-8 Data Cartridge - LTO-8 - Rewritable - Labeled - 12 TB (Native) / 30 TB (Compressed),4.3,236,Hewlett Packard Enterprise,QW939A,True,new,third-party,Malelo and Company,True,Portable HDD,"3.5""",USB 3.0,2700,2700,04/30,12
